,density,nelements,formationenergy_pa,atomMean,atomStd,transition,metalloid,other,NdValenc wmean,BulkModulus wstd,AtomicWeigh wstd,BoilingT wmean,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,BCCenergy_p wstd,MiracleRadius wstd,n_ws^third wmean,AtomicVolum wmean,BCCefflatcn wstd,HeatFusion wmean,HeatFusion wstd,GSefflatcn wstd,IsNonm wmean,MeltingT wstd,GSestBCClatcn wstd,CovalentRadius wstd,GSestFCClatcn wstd,NpUnfilled wmean,BCCenergydiff wmean,GSmagmom wstd,phi wmean,SpaceGroupNumber wstd,Row wstd,vx,Coordination,numberDensity,oxidation flexibility,avgIonicRadVol,AtomicNum Density,oxidation flexibility Std,chargedensityvoldens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,1.0,0.3082833800000002,51.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,1.26,30.191423443789105,0.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.22744721,0.0,4.4,0.0,0.0,3.1205335664243603,8.0,0.035484011955986064,8.0,0.9150123925355664,51.0,0.0,1.7564620530847674
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,3.0,-2.8908447468258434,13.719101123595506,13.86774510323149,1.0,0.0,3.0,0.2696629213483146,15.735997733050644,7.131661828238649,459.2749063670412,406.16651117254287,0.7438076492240414,0.06367041198501873,0.09004356015109594,0.0,0.0,0.4315955056179776,0.272285166169023,0.7016859885133757,4.645414845170411,0.17295880149812734,3762.8049976458087,0.7966775348519938,2.257977528089888,2.699650068268036,0.9009356706100392,0.202247191011236,234.93680910129456,0.450467835479385,6.381635619792247,0.5675539080568183,0.404494382022472,0.4648470492134831,0.0,0.4544943820224719,17.825174495546648,0.3540465108043888,15.402585857461036,5.0,0.08858997552245118,3.640449438202247,0.4565570025390636,13.719101123595506,1.9328455532806448,1.1796308386863237
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,3.0,-2.8495875509793813,13.927835051546392,13.920427341675033,1.0,0.0,3.0,0.274914089347079,16.088324632714446,7.325039341184001,457.7353951890034,418.2124369536844,0.7601229312194023,0.05841924398625429,0.0826172871489437,0.0,0.0,0.4167491408934708,0.25721698452987746,0.7315986698115874,5.556087880874734,0.1699656357388316,3835.9385623241524,0.8460138684258527,2.282474226804124,2.764484843163664,0.9518325622768538,0.2061855670103093,241.28006695129108,0.4759162813129154,7.578758697915857,0.5996169406523675,0.4123711340206186,0.473870803814433,0.0,0.44484536082474224,17.332502821082112,0.3788182482342453,5.330060581314432,5.0103092783505145,0.08614101436148018,3.7113402061855667,0.4664120984331043,13.927835051546392,1.8829608341164328,1.1644731386260756
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,3.0,-2.727400267674419,16.3953488372093,15.410868310631134,1.0,0.0,3.0,0.372093023255814,21.954410811435565,10.353023692465342,571.0961240310078,592.5811122843351,0.7233792260925985,0.05426356589147288,0.07674027082644702,0.0,0.0,0.38981395348837217,0.22520666069553386,1.0297416405685178,6.3937653665713015,0.2057364341085272,3461.857100760221,0.6891657413877028,2.9944186046511634,3.805517840674904,0.7747240431142052,0.18604651162790686,337.6206714034209,0.3873620217017916,10.31323609599375,0.4880455649394049,0.372093023255814,0.4275924960465116,0.0,0.5313953488372093,23.37418196791732,0.45307408360317697,8.322963664693779,6.1395348837209305,0.08816289097561088,3.9069767441860463,0.4870356914766064,16.3953488372093,1.9267269932286493,1.40295054750213
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,3.0,-2.7290672971428567,16.714285714285715,15.452362609131384,1.0,0.0,3.0,0.3809523809523809,22.53553505324545,10.657467901643669,571.8761904761905,613.5878633347844,0.7431033546574646,0.047619047619047616,0.06734350297014738,0.0,0.0,0.3706666666666667,0.20862886793334084,1.0714950694071734,8.202648761955992,0.20285714285714285,3544.1112852380047,0.7678789423274099,3.0419047619047617,3.911918181004721,0.8532829884260836,0.19047619047619047,348.0006998722339,0.4266414943520869,11.91352058751382,0.5375345993714812,0.3809523809523809,0.4377387290476191,0.0,0.5214285714285714,23.96624610532389,0.4856209060564557,2.965698867310482,6.0,0.08499198694751026,4.0,0.4998904006039188,16.714285714285715,1.8516401995451028,1.3788012952190951
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,2.0,-2.6280075225000004,19.0,15.556349186104045,1.0,0.0,2.0,0.6666666666666666,28.33333333333333,10.151263333333333,866.1999999999997,806.1333333333333,0.2075408216666668,0.0,0.0,0.0,0.0,0.3501666666666667,0.2618333333333333,0.8623030516666668,2.5,0.2733333333333333,6200.399410993186,0.5273248606189984,5.073333333333333,4.926666666666667,0.6496301285420816,0.3333333333333333,440.06666666666666,0.3248150645000001,5.333333333333332,0.4092413368333334,0.6666666666666666,0.7656800983333333,0.0,0.6749999999999999,34.166666666666664,0.16666666666666666,2.988684623095708,7.0,0.07361685668259631,4.666666666666667,0.5320943099266652,19.0,0.9428090415820634,1.3575841205330577
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,3.0,-1.5278891674999997,11.307692307692307,9.925759923510725,1.0,0.0,3.0,0.7692307692307693,14.498225877091615,5.1372121373940836,425.6564102564103,288.92740127654133,0.5647057620065314,0.10256410256410256,0.145047544858779,0.0,0.0,0.5382307692307693,0.42153482592480496,0.22922781095666844,8.233604432208782,0.2135897435897436,2863.457668129528,0.4038261053482624,1.3876923076923076,1.2826082892561699,0.4655393145059592,0.15384615384615385,118.42290513390994,0.23276965731975915,4.2063788009045915,0.2932713910056372,0.3076923076923077,0.35674238230769234,0.0,0.6346153846153847,27.305296632606076,0.145047544858779,5.099976308850827,5.0,0.09071523890163004,2.5384615384615383,0.5155936088385101,11.307692307692307,1.7371676600978792,0.9956119707914792
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,3.0,-1.6094075098214289,10.714285714285714,9.801082822310804,1.0,0.0,3.0,0.7142857142857143,13.31312243708978,4.581633491435262,433.70476190476194,282.88834275579507,0.5170645516461096,0.11904761904761905,0.16835875742536846,0.0,0.0,0.5850714285714286,0.5070300780032679,0.16275141681024138,12.762793146051099,0.22166666666666668,2659.437931312654,0.4737658802773738,1.36,1.1692034616326954,0.5055264348108299,0.14285714285714285,109.21570763813213,0.2527632174018147,8.215907362357981,0.3184616983004869,0.2857142857142857,0.3313644057142857,0.0,0.6571428571428571,31.36933450668488,0.06734350297014735,5.040407117720688,5.071428571428571,0.09242237603886193,2.357142857142857,0.5215705050450802,10.714285714285714,1.7971065179155892,0.961116938907679
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,2.0,-0.3655114206249994,18.5,10.5,1.0,0.0,2.0,2.5,35.0,11.88665,822.525,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,0.13325,0.2957839175,15.5,0.3675,4651.0067771053245,0.1806899336933725,3.455,3.345,0.08853835020191014,0.25,325.7425,0.04426917499999994,16.5,0.055775665500000016,0.5,0.58370195875,0.0,1.1125,53.25,0.5,6.115885341287942,4.0,0.056504400275890924,3.5,0.6980201356478315,18.5,0.5,1.0145883631132864
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,3.0,-1.3059873322727271,14.272727272727273,11.306401317121274,1.0,0.0,3.0,1.2121212121212122,23.323846950005716,9.215921721578113,545.6181818181818,467.62721914806707,0.6395795027700905,0.0909090909090909,0.128564869306645,0.0,0.0,0.4835757575757576,0.3577007177647814,0.3332569741742423,9.763408759079887,0.2672727272727273,2256.9921396340856,0.1315476019662002,1.9478787878787882,2.1409224516514618,0.11834433445095315,0.12121212121212124,203.35239406528873,0.05917216729279316,9.811445500532392,0.07455225902839797,0.2424242424242425,0.2834026584848485,0.0,0.7984848484848485,32.911853224098884,0.3927721635398704,3.647055816020496,5.0,0.08030329946015187,2.5454545454545454,0.6209993413680446,14.272727272727273,1.6160353486028345,1.1124390758573417
