,density,nelements,Unit Cell Mass,total_magnetization,energysStab,atomMean,transition,chalcogen,metalloid,other,NdValenc wmean,BulkModulus wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,BCCenergy_p wstd,n_ws^third wmean,AtomicVolum wmean,AtomicVolum wstd,HeatFusion wmean,HeatFusion wstd,BCCvolume_padiff wmean,BCCvolume_padiff wstd,IsNonm wmean,MeltingT wstd,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,phi wmean,Crystal System,meanbv,vx,VegardVolume,Hall Number,Coordination,numberDensity,oxidation flexibility,ShannonRadii,positiveoxidationpop,avgIonicRadVol,AtomicNum Density,volumeshannonflex,oxidation flexibility Std,deltaShannonstd,deltashannonmax,chargedensityvoldens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,1.0,121.76,1.0199999999999999e-05,0.3082833800000002,51.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,1.26,30.191423443789105,0.0,19.79,0.0,-4.47,0.0,0.0,0.0,0.22744721,0.0,0.0,4.4,4.0,-2.210026580761672,3.1205335664243603,1.2241868460857266,424.0,8.0,0.035484011955986064,8.0,0.9150123925355664,1.0,0.9150123925355664,51.0,0.0,0.0,0.0,0.06136402697387632,1.7564620530847674
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,3.0,2654.27944,1.98e-05,0.011585055835672264,13.719101123595506,1.0,1.0,0.0,3.0,0.2696629213483146,15.735997733050644,7.131661828238649,406.16651117254287,0.7438076492240414,0.06367041198501873,0.09004356015109594,0.0,0.0,0.4315955056179776,0.272285166169023,0.7016859885133757,0.17295880149812734,3762.8049976458087,5315.92551670511,2.257977528089888,2.699650068268036,-0.3642946317082396,0.5039768607139502,0.202247191011236,234.93680910129456,0.4648470492134831,0.0,0.0,0.4544943820224719,2.0,-0.4162274302601133,15.402585857461036,2.6394089764402806,1.0,5.0,0.08858997552245118,3.640449438202247,0.4565570025390636,0.39325842696629215,0.4565570025390636,13.719101123595506,0.0,1.9328455532806448,0.0007630147665547433,0.003245584269337581,1.1796308386863237
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,3.0,2936.0886,2.7259328,0.033870263795103384,13.927835051546392,1.0,1.0,0.0,3.0,0.274914089347079,16.088324632714446,7.325039341184001,418.2124369536844,0.7601229312194023,0.05841924398625429,0.0826172871489437,0.0,0.0,0.4167491408934708,0.25721698452987746,0.7315986698115874,0.1699656357388316,3835.9385623241524,5419.541847077206,2.282474226804124,2.764484843163664,-0.37084765177353934,0.5141651896685887,0.2061855670103093,241.28006695129108,0.473870803814433,0.0,0.0,0.44484536082474224,2.0,-0.43509217889729895,5.330060581314432,1.2810036689389055,1.0,5.0103092783505145,0.08614101436148018,3.7113402061855667,0.4664120984331043,0.38144329896907214,0.4664120984331043,13.927835051546392,17.380359425868747,1.8829608341164328,0.0006656344806709718,0.00289558662551515,1.1644731386260756
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,3.0,1547.44916,0.0026214000000000003,0.04385439790697632,16.3953488372093,1.0,1.0,0.0,3.0,0.372093023255814,21.954410811435565,10.353023692465342,592.5811122843351,0.7233792260925985,0.05426356589147288,0.07674027082644702,0.0,0.0,0.38981395348837217,0.22520666069553386,1.0297416405685178,0.2057364341085272,3461.857100760221,4889.772957662682,2.9944186046511634,3.805517840674904,-0.3347545219620153,0.4638549146689748,0.18604651162790686,337.6206714034209,0.4275924960465116,0.0,0.0,0.5313953488372093,2.0,-0.09680649791421968,8.322963664693779,0.8581885109020039,1.0,6.1395348837209305,0.08816289097561088,3.9069767441860463,0.4870356914766064,0.4418604651162791,0.4870356914766064,16.3953488372093,400.4998210815512,1.9267269932286493,0.0014947683911967955,0.006685219664252685,1.40295054750213
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,3.0,513.5027200000002,4.41e-05,0.05940283357142918,16.714285714285715,1.0,1.0,0.0,3.0,0.3809523809523809,22.53553505324545,10.657467901643669,613.5878633347844,0.7431033546574646,0.047619047619047616,0.06734350297014738,0.0,0.0,0.3706666666666667,0.20862886793334084,1.0714950694071734,0.20285714285714285,3544.1112852380047,5006.317058578599,3.0419047619047617,3.911918181004721,-0.3420634920619046,0.4753577374831238,0.19047619047619047,348.0006998722339,0.4377387290476191,0.0,0.0,0.5214285714285714,2.0,-0.11226695969346737,2.965698867310482,0.9786179428274788,1.0,6.0,0.08499198694751026,4.0,0.4998904006039188,0.42857142857142855,0.4998904006039188,16.714285714285715,130.26317925897294,1.8516401995451028,0.004291976507359728,0.019794669790677732,1.3788012952190951
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,2.0,249.81036,1.1342821,0.28384010833333306,19.0,1.0,1.0,0.0,2.0,0.6666666666666666,28.33333333333333,10.151263333333333,806.1333333333333,0.2075408216666668,0.0,0.0,0.0,0.0,0.3501666666666667,0.2618333333333333,0.8623030516666668,0.2733333333333333,6200.399410993186,6194.398699999749,5.073333333333333,4.926666666666667,-0.5916666666666666,0.5916666666666666,0.3333333333333333,440.06666666666666,0.7656800983333333,0.0,0.0,0.6749999999999999,5.0,0.046050974306401336,2.988684623095708,1.064192912351852,456.0,7.0,0.07361685668259631,4.666666666666667,0.5320943099266652,0.3333333333333333,0.5320943099266652,19.0,0.0,0.9428090415820634,0.005653890033311267,0.028235090876503964,1.3575841205330577
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,3.0,314.3984,0.9555405,0.03008017615384606,11.307692307692307,1.0,1.0,0.0,3.0,0.7692307692307693,14.498225877091615,5.1372121373940836,288.92740127654133,0.5647057620065314,0.10256410256410256,0.145047544858779,0.0,0.0,0.5382307692307693,0.42153482592480496,0.22922781095666844,0.2135897435897436,2863.457668129528,4042.923221759368,1.3876923076923076,1.2826082892561699,-0.2808547008512818,0.3808603208189032,0.15384615384615385,118.42290513390994,0.35674238230769234,0.0,0.0,0.6346153846153847,2.0,-0.4180779996167717,5.099976308850827,0.9981269727418892,1.0,5.0,0.09071523890163004,2.5384615384615383,0.5155936088385101,0.5384615384615384,0.5155936088385101,11.307692307692307,0.0,1.7371676600978792,0.005812941146945091,0.02275281895066603,0.9956119707914792
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,3.0,321.3394,2.0000366,0.022672047142856755,10.714285714285714,1.0,1.0,0.0,3.0,0.7142857142857143,13.31312243708978,4.581633491435262,282.88834275579507,0.5170645516461096,0.11904761904761905,0.16835875742536846,0.0,0.0,0.5850714285714286,0.5070300780032679,0.16275141681024138,0.22166666666666668,2659.437931312654,3753.780578515911,1.36,1.1692034616326954,-0.2627777777738092,0.3523351178568752,0.14285714285714285,109.21570763813213,0.3313644057142857,0.0,0.0,0.6571428571428571,2.0,-0.33793731355372536,5.040407117720688,0.9512956259057944,1.0,5.071428571428571,0.09242237603886193,2.357142857142857,0.5215705050450802,0.5714285714285714,0.5215705050450802,10.714285714285714,15.643228728758292,1.7971065179155892,0.005643781043258875,0.02152521056001396,0.961116938907679
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,2.0,318.1816,-0.0105148,0.5880946375000002,18.5,1.0,1.0,0.0,2.0,2.5,35.0,11.88665,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,0.13325,0.2957839175,0.3675,4651.0067771053245,4645.091806139375,3.455,3.345,-0.44125,0.4462499999999999,0.25,325.7425,0.58370195875,0.0,0.0,1.1125,4.0,-0.5915502051566236,6.115885341287942,1.6157355742729342,424.0,4.0,0.056504400275890924,3.5,0.6980201356478315,0.5,0.6980201356478315,18.5,45.19130307529761,0.5,0.00304355856443068,0.015436633843188682,1.0145883631132864
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,3.0,339.0046,0.9746841999999999,0.04510244999999991,14.272727272727273,1.0,1.0,0.0,3.0,1.2121212121212122,23.323846950005716,9.215921721578113,467.62721914806707,0.6395795027700905,0.0909090909090909,0.128564869306645,0.0,0.0,0.4835757575757576,0.3577007177647814,0.3332569741742423,0.2672727272727273,2256.9921396340856,3184.6724154623644,1.9478787878787882,2.1409224516514618,-0.22151515151212087,0.2999635729358497,0.12121212121212124,203.35239406528873,0.2834026584848485,0.0,0.0,0.7984848484848485,1.0,-0.1406127615178509,3.647055816020496,0.95804628356324,30.0,5.0,0.08030329946015187,2.5454545454545454,0.6209993413680446,0.6363636363636364,0.6209993413680446,14.272727272727273,12.633872227086238,1.6160353486028345,0.005583107962193419,0.02380340134734476,1.1124390758573417
